Name,Domain,Grundversorgungsseite,Grundversorgungsseite2
EWE,ewe.de,https://www.swk.de/de/staedte/strom-bremervoerde,https://www.ewe.de/grundversorgung
SWB Bremen,swb.de,https://www.swb.de/strom/strom-basis 
Stadtwerke Osnabrück,stadtwerke-osnabrueck.de,https://www.swk.de/de/staedte/strom-osnabrueck,https://www.stadtwerke-osnabrueck.de/energie/strom/klassik
Stadtwerke Bielefeld,stadtwerke-bielefeld.de,https://bestellung.stadtwerke-bielefeld.de/privatkunden/energie-wasser/strom/mein-beststrom,https://bestellung.stadtwerke-bielefeld.de/privatkunden/energie-wasser/strom/mein-beststrom
Stadtwerke Münster,stadtwerke-muenster.de,https://www.swk.de/de/staedte/strom-muenster-westfalen,https://www.stadtwerke-muenster.de/zuhause/strom/strom-grundversorgung
Stadtwerke Emden,stadtwerke-emden.de,https://www.swk.de/de/staedte/strom-emden-ostfriesland,https://stadtwerke-emden.de/strom/privatkunden
GEW Wilhelmshaven,stadtwerke-wilhelmshaven.de,https://www.swk.de/de/staedte/strom-wilhelmshaven,https://www.gew-wilhelmshaven.de/havenstrom/
Nordhorner Versorgungsbetriebe,stadtwerke-nordhorn.de,https://www.swk.de/de/staedte/strom-nordhorn,https://www.nvb.de/grundversorgung-strom/
Stadtwerke Schneverdingen, heidjers-stadtwerke.de,https://heidjers-stadtwerke.de/strom
Stadtwerke Norderney, stadtwerke-norderney.de,https://www.swk.de/de/staedte/strom-norderney,https://stadtwerke-norderney.de/strom/grund-ersatzversorgung-sonstiges/
Stadtwerke Lingen, stadtwerke-lingen.de,https://www.swk.de/de/staedte/strom-lingen-ems,https://www.stadtwerke-lingen.de/strom/haushaltskunden
E.ON Springe, stadtwerke-springe.de,https://www.swk.de/de/staedte/strom-springe-deister,https://stadtwerke-springe.de/grundversorgungstrom/
Stadtwerke Clausthal, stadtwerke-claustahl.de,https://www.swk.de/de/staedte/strom-clausthal-zellerfeld,https://www.stadtwerke-clausthal.de/de/Strom/Stromtarife-und-Vertragsbedingungen/ 
Stadtwerke Buxtehude, stadtwerke-buxtehude.de,https://www.swk.de/de/staedte/strom-buxtehude,https://www.stadtwerke-buxtehude.de/energie-wasser/strompreise
Stadtwerke Winsen, stw-winsen.de,https://www.swk.de/de/staedte/strom-winsen-luhe,https://www.stw-winsen.de/de/Kopfnavigation/Netze1/EnWG/Stromnetz/Grund-Ersatzversorgung-Sonstiges.html?ConsentReferrer=https%3A%2F%2Fwww.google.com%2F
Stadtwerke Georgsmarienhütte, sw-gmhuette.de, https://www.swk.de/de/staedte/strom-georgsmarienhuette,https://www.sw-gmhuette.de/de/Produkte-Preise/Strom/?ConsentReferrer=https%3A%2F%2Fwww.google.com%2F
enBw, enbw.con,https://www.swk.de/de/staedte/strom-stuttgart 
SWM Versorgungs GmbH, swm.de,https://www.swk.de/de/staedte/strom-muenchen,https://www.swm.de/strom/grundversorgung-ersatzversorgung
Mainova, mainova.de,https://www.mainova.de/de/fuer-unternehmen/tarife/strom/mainova-strom-business-classic 
Rheinenergie, rheinenergie.com,https://www.swk.de/de/staedte/strom-pulheim,https://www.rheinenergie.com/de/privatkunden/strom___erdgas/grundversorgung.html 
Stadtwerke Heidelberg, swhd.de,https://www.swk.de/de/staedte/strom-heidelberg,https://www.swhd.de/de/Hauptnavigation-/Privatkunden/Strom/heidelberg-STROM-basis-/heidelberg-STROM-basis-.html?ConsentReferrer=https%3A%2F%2Fwww.google.com%2F 
Stadtwerke Bochum, stadtwerke-bochum.de,https://www.swk.de/de/staedte/strom-bochum,https://www.stadtwerke-bochum.de/privatkunden/produkte/strom-erdgas/strom-fuer-zuhause/strompreis/stadtwerkebasis-strom-grundversorgung
Stadtwerke Konstanz,stadtwerke-konstanz.de,https://www.swk.de/de/staedte/strom-konstanz,https://www.stadtwerke-konstanz.de/energie/strom/ 
