Anbieter,Typ,Wert,Zeitraum
Stadtwerke Döbeln,Arbeitspreis,"34,19 ct/kWh",01.01.2025
Stadtwerke Döbeln,Grundpreis,"85,68 €/Jahr",01.01.2025
Stadtwerke Senftenberg,Arbeitspreis,"35,28 ct/kWh",01.01.2025
Stadtwerke Senftenberg,Grundpreis,"134,65 €/Jahr",01.01.2025
BIGGE Energie,Arbeitspreis,"33,78 ct/kWh",01.02.2025
BIGGE Energie,Grundpreis,"208,25 €/Jahr",01.02.2025
Kraft und Wasserwerke Kitzingen,Arbeitspreis,"38,91 ct/kWh",01.01.2025
Kraft und Wasserwerke Kitzingen,Grundpreis,"155,70 €/Jahr",01.01.2025
ENTEGA PLUS,Arbeitspreis,"38,98 ct/kWh",01.01.2024
ENTEGA PLUS,Grundpreis,"180,00 €/Jahr",01.01.2024
BeSte Stadtwerke,Arbeitspreis,"39,68 ct/kWh",01.01.2025
BeSte Stadtwerke,Grundpreis,"213,70 €/Jahr",01.01.2025
Stadtwerke Gelnhausen,Arbeitspreis,"38,35 ct/kWh",01.01.2025
Stadtwerke Gelnhausen,Grundpreis,"196,35 €/Jahr",01.01.2025
Energie Waldeck-Frankenberg,Arbeitspreis,"38,80 ct/kWh",01.01.2024
Energie Waldeck-Frankenberg,Grundpreis,"104,82 €/Jahr",01.01.2024
Energieversorgung Apolda,Arbeitspreis,"48,49 ct/kWh",01.01.2025
Energieversorgung Apolda,Grundpreis,"149,37 €/Jahr",01.01.2025
Stadtwerke Lutherstadt Eisleben,Arbeitspreis,"35,90 ct/kWh",01.01.2025
Stadtwerke Lutherstadt Eisleben,Grundpreis,"163,48 €/Jahr",01.01.2025
Oberhessische Versorgungsbetriebe,Arbeitspreis,"39,96 ct/kWh",01.01.2025
Oberhessische Versorgungsbetriebe,Grundpreis,"167,93 €/Jahr",01.01.2025
Allgäuer Kraftwerke,Arbeitspreis,"38,90 ct/kWh",01.01.2025
Allgäuer Kraftwerke,Grundpreis,"220,00 €/Jahr",01.01.2025
Stadtwerke Rees,Arbeitspreis,"50,76 ct/kWh",01.01.2025
Stadtwerke Rees,Grundpreis,"198,98 €/Jahr",01.01.2025
BELKAW,Arbeitspreis,"33,19 ct/kWh",01.01.2025
BELKAW,Grundpreis,"277,42 €/Jahr",01.01.2025
Stadtwerke Glauchau,Arbeitspreis,"36,41 ct/kWh",01.01.2025
Stadtwerke Glauchau,Grundpreis,"168,36 €/Jahr",01.01.2025
Stadtwerke Radevormwald,Arbeitspreis,"35,33 ct/kWh",01.01.2025
Stadtwerke Radevormwald,Grundpreis,"179,69 €/Jahr",01.01.2025
Stadtwerke Hockenheim,Arbeitspreis,"37,21 ct/kWh",01.01.2025
Stadtwerke Hockenheim,Grundpreis,"191,99 €/Jahr",01.01.2025
Stadtwerke Germersheim,Arbeitspreis,"35,40 ct/kWh",01.01.2025
Stadtwerke Germersheim,Grundpreis,"161,38 €/Jahr",01.01.2025
Stadtwerke Dingolfing,Arbeitspreis,"34,99 ct/kWh",01.01.2025
Stadtwerke Dingolfing,Grundpreis,"150,00 €/Jahr",01.01.2025
Stadtwerke Lindau,Arbeitspreis,"40,69 ct/kWh",01.01.2025
Stadtwerke Lindau,Grundpreis,"105,48 €/Jahr",01.01.2025
